date,global_interest
2020-10-11,3.1
2020-10-18,4.16
2020-10-25,4.26
2020-11-01,4.44
2020-11-08,4.8
2020-11-15,6.32
2020-11-22,7.42
2020-11-29,6.16
2020-12-06,5.12
2020-12-13,7.38
2020-12-20,7.66
2020-12-27,11.32
2021-01-03,18.42
2021-01-10,17.4
2021-01-17,12.06
2021-01-24,10.96
2021-01-31,10.84
2021-02-07,17.78
2021-02-14,18.4
2021-02-21,19.12
2021-02-28,12.46
2021-03-07,12.44
2021-03-14,12.34
2021-03-21,10.78
2021-03-28,11.08
2021-04-04,11.36
2021-04-11,13.98
2021-04-18,16.82
2021-04-25,13.8
2021-05-02,14.26
2021-05-09,18.0
2021-05-16,25.52
2021-05-23,18.82
2021-05-30,12.82
2021-06-06,13.06
2021-06-13,10.72
2021-06-20,13.06
2021-06-27,9.76
2021-07-04,8.54
2021-07-11,8.04
2021-07-18,8.7
2021-07-25,9.84
2021-08-01,8.96
2021-08-08,9.9
2021-08-15,9.14
2021-08-22,9.24
2021-08-29,9.4
2021-09-05,10.94
2021-09-12,8.28
2021-09-19,9.38
2021-09-26,8.04
2021-10-03,9.34
2021-10-10,10.2
2021-10-17,12.2
2021-10-24,10.5
2021-10-31,9.72
2021-11-07,11.14
2021-11-14,11.32
2021-11-21,10.52
2021-11-28,10.96
2021-12-05,11.38
2021-12-12,10.18
2021-12-19,9.2
2021-12-26,9.68
2022-01-02,12.68
2022-01-09,12.2
2022-01-16,12.58
2022-01-23,15.96
2022-01-30,12.28
2022-02-06,11.44
2022-02-13,10.06
2022-02-20,12.72
2022-02-27,11.22
2022-03-06,9.7
2022-03-13,8.68
2022-03-20,8.88
2022-03-27,9.42
2022-04-03,8.84
2022-04-10,8.46
2022-04-17,7.96
2022-04-24,7.82
2022-05-01,8.44
2022-05-08,15.84
2022-05-15,11.42
2022-05-22,10.3
2022-05-29,9.06
2022-06-05,8.24
2022-06-12,17.66
2022-06-19,13.7
2022-06-26,10.1
2022-07-03,9.38
2022-07-10,8.36
2022-07-17,9.12
2022-07-24,7.84
2022-07-31,7.44
2022-08-07,7.08
2022-08-14,6.82
2022-08-21,6.54
2022-08-28,6.72
2022-09-04,6.64
2022-09-11,8.5
2022-09-18,7.16
2022-09-25,6.1
2022-10-02,5.6
2022-10-09,5.7
2022-10-16,5.22
2022-10-23,5.28
2022-10-30,5.42
2022-11-06,10.02
2022-11-13,8.24
2022-11-20,6.62
2022-11-27,5.76
2022-12-04,5.12
2022-12-11,5.68
2022-12-18,4.86
2022-12-25,5.0
2023-01-01,5.16
2023-01-08,5.9
2023-01-15,6.64
2023-01-22,6.22
2023-01-29,5.98
2023-02-05,5.48
2023-02-12,5.86
2023-02-19,5.7
2023-02-26,5.52
2023-03-05,5.86
2023-03-12,7.26
2023-03-19,7.32
2023-03-26,6.36
2023-04-02,6.16
2023-04-09,6.94
2023-04-16,6.26
2023-04-23,5.92
2023-04-30,5.72
2023-05-07,6.0
2023-05-14,5.56
2023-05-21,5.58
2023-05-28,5.62
2023-06-04,6.22
2023-06-11,5.88
2023-06-18,6.36
2023-06-25,6.32
2023-07-02,5.96
2023-07-09,6.4
2023-07-16,5.96
2023-07-23,5.74
2023-07-30,5.62
2023-08-06,5.8
2023-08-13,6.08
2023-08-20,5.98
2023-08-27,5.54
2023-09-03,5.42
2023-09-10,5.42
2023-09-17,5.32
2023-09-24,5.02
2023-10-01,5.3
2023-10-08,5.24
2023-10-15,5.84
2023-10-22,7.62
2023-10-29,6.66
2023-11-05,7.3
2023-11-12,7.04
2023-11-19,6.56
2023-11-26,6.08
2023-12-03,9.22
2023-12-10,7.68
2023-12-17,8.08
2023-12-24,8.34
2023-12-31,8.88
2024-01-07,12.52
2024-01-14,8.32
2024-01-21,7.66
2024-01-28,6.84
2024-02-04,7.18
2024-02-11,9.58
2024-02-18,8.1
2024-02-25,12.66
2024-03-03,14.66
2024-03-10,14.68
2024-03-17,12.58
2024-03-24,10.58
2024-03-31,10.38
2024-04-07,10.06
2024-04-14,11.94
2024-04-21,8.74
2024-04-28,8.76
2024-05-05,7.12
2024-05-12,7.12
2024-05-19,8.7
2024-05-26,7.56
2024-06-02,7.62
2024-06-09,7.16
2024-06-16,6.7
2024-06-23,6.88
2024-06-30,7.3
2024-07-07,6.96
2024-07-14,7.6
2024-07-21,7.92
2024-07-28,7.52
2024-08-04,10.22
2024-08-11,6.84
2024-08-18,6.7
2024-08-25,6.36
2024-09-01,6.4
2024-09-08,5.94
2024-09-15,6.46
2024-09-22,6.46
2024-09-29,5.92
2024-10-06,5.74
2024-10-13,5.88
2024-10-20,6.12
2024-10-27,7.26
2024-11-03,10.62
2024-11-10,17.3
2024-11-17,14.74
2024-11-24,12.62
2024-12-01,14.52
2024-12-08,11.92
2024-12-15,13.02
2024-12-22,10.7
2024-12-29,9.6
2025-01-05,9.38
2025-01-12,10.08
2025-01-19,13.02
2025-01-26,9.72
2025-02-02,10.3
2025-02-09,7.74
2025-02-16,7.64
2025-02-23,10.1
2025-03-02,10.3
2025-03-09,8.8
2025-03-16,6.96
2025-03-23,6.88
2025-03-30,7.36
2025-04-06,8.92
2025-04-13,6.64
2025-04-20,7.56
2025-04-27,6.46
2025-05-04,7.6
2025-05-11,7.8
2025-05-18,8.66
2025-05-25,7.68
2025-06-01,6.78
2025-06-08,7.42
2025-06-15,6.92
2025-06-22,7.24
2025-06-29,6.42
2025-07-06,7.86
2025-07-13,9.7
2025-07-20,8.36
2025-07-27,8.04
2025-08-03,8.24
2025-08-10,9.38
2025-08-17,7.04
2025-08-24,7.3
2025-08-31,6.48
2025-09-07,6.34
2025-09-14,6.52
2025-09-21,6.64
2025-09-28,6.96
2025-10-05,9.4
2025-10-12,14.64
